Countries or Regions,Currency Code,Billing Plan,Price,Year 1 Proceeds,Year 2 Proceeds
"Congo, Republic of the",USD,Upfront,9.99,8.49,8.49
Costa Rica,USD,Upfront,9.99,8.49,8.49
Côte d’Ivoire,USD,Upfront,11.99,8.64,8.64
Croatia,EUR,Upfront,9.99,6.79,6.79
Cyprus,EUR,Upfront,9.99,7.14,7.14
Czech Republic,CZK,Upfront,249.0,174.92,174.92
Denmark,DKK,Upfront,89.0,60.52,60.52
Dominica,USD,Upfront,9.99,8.49,8.49
Dominican Republic,USD,Upfront,9.99,8.49,8.49
Ecuador,USD,Upfront,9.99,8.49,8.49
Egypt,EGP,Upfront,499.99,372.8,372.8
El Salvador,USD,Upfront,9.99,8.49,8.49
Estonia,EUR,Upfront,9.99,6.85,6.85
Eswatini,USD,Upfront,9.99,8.49,8.49
Fiji,USD,Upfront,9.99,8.49,8.49
Finland,EUR,Upfront,9.99,6.77,6.77
France,EUR,Upfront,9.99,7.08,7.08
Gabon,USD,Upfront,9.99,8.49,8.49
Gambia,USD,Upfront,9.99,8.49,8.49
Georgia,USD,Upfront,11.99,8.64,8.64
Germany,EUR,Upfront,9.99,7.14,7.14
Ghana,USD,Upfront,11.99,8.49,8.49
Greece,EUR,Upfront,9.99,6.85,6.85
Grenada,USD,Upfront,9.99,8.49,8.49
Guatemala,USD,Upfront,9.99,8.49,8.49
Guinea-Bissau,USD,Upfront,9.99,8.49,8.49
Guyana,USD,Upfront,9.99,8.49,8.49
Honduras,USD,Upfront,9.99,8.49,8.49
Hong Kong,HKD,Upfront,88.0,74.8,74.8
Hungary,HUF,Upfront,4490,3005,3005
Iceland,USD,Upfront,11.99,8.22,8.22
India,INR,Upfront,399.0,287.42,287.42
Indonesia,IDR,Upfront,169000,129414,129414
Iraq,USD,Upfront,9.99,8.49,8.49
Ireland,EUR,Upfront,9.99,6.9,6.9
Israel,ILS,Upfront,34.9,29.67,29.67
Italy,EUR,Upfront,9.99,6.93,6.93
Jamaica,USD,Upfront,9.99,8.49,8.49
Japan,JPY,Upfront,1500,1159,1159
Jordan,USD,Upfront,9.99,8.49,8.49
Kazakhstan,KZT,Upfront,5990.0,4389.22,4389.22
Kenya,USD,Upfront,11.99,8.77,8.77
"Korea, Republic of",KRW,Upfront,17000,13136,13136
Kosovo,EUR,Upfront,9.99,7.2,7.2
Kuwait,USD,Upfront,9.99,8.49,8.49
Kyrgyzstan,USD,Upfront,9.99,7.58,7.58
Laos,USD,Upfront,9.99,7.72,7.72
Latvia,EUR,Upfront,9.99,7.02,7.02
Lebanon,USD,Upfront,9.99,8.49,8.49
Liberia,USD,Upfront,9.99,8.49,8.49
Libya,USD,Upfront,9.99,8.49,8.49
Lithuania,EUR,Upfront,9.99,7.02,7.02
Luxembourg,EUR,Upfront,9.99,7.26,7.26
Macau,USD,Upfront,9.99,8.49,8.49
Madagascar,USD,Upfront,9.99,8.49,8.49
Malawi,USD,Upfront,9.99,8.49,8.49
Malaysia,MYR,Upfront,49.9,39.27,39.27
Maldives,USD,Upfront,9.99,8.49,8.49
Mali,USD,Upfront,9.99,8.49,8.49
Malta,EUR,Upfront,9.99,7.2,7.2
Mauritania,USD,Upfront,9.99,8.49,8.49
Mauritius,USD,Upfront,11.99,8.86,8.86
Mexico,MXN,Upfront,199.0,145.82,145.82
Micronesia,USD,Upfront,9.99,8.49,8.49
Moldova,USD,Upfront,11.99,8.49,8.49
Mongolia,USD,Upfront,9.99,8.49,8.49
Montenegro,EUR,Upfront,9.99,8.49,8.49
Montserrat,USD,Upfront,9.99,8.49,8.49
Morocco,USD,Upfront,9.99,8.49,8.49
Mozambique,USD,Upfront,9.99,8.49,8.49
Myanmar,USD,Upfront,9.99,8.49,8.49
Namibia,USD,Upfront,9.99,8.49,8.49
Nauru,USD,Upfront,9.99,8.49,8.49
Nepal,USD,Upfront,11.99,8.84,8.84
Netherlands,EUR,Upfront,9.99,7.02,7.02
New Zealand,NZD,Upfront,19.99,14.78,14.78
Nicaragua,USD,Upfront,9.99,8.49,8.49
Niger,USD,Upfront,9.99,8.49,8.49
Nigeria,NGN,Upfront,14900.0,11781.4,11781.4
North Macedonia,USD,Upfront,9.99,8.49,8.49
Norway,NOK,Upfront,129.0,87.72,87.72
Oman,USD,Upfront,9.99,8.09,8.09
Pakistan,PKR,Upfront,2900.0,2465.0,2465.0
Palau,USD,Upfront,9.99,8.49,8.49
Panama,USD,Upfront,9.99,8.49,8.49
Papua New Guinea,USD,Upfront,9.99,8.49,8.49
Paraguay,USD,Upfront,9.99,8.49,8.49
Peru,PEN,Upfront,44.9,32.34,32.34
Philippines,PHP,Upfront,599.0,454.6,454.6
Poland,PLN,Upfront,49.99,34.55,34.55
Portugal,EUR,Upfront,9.99,6.9,6.9
Qatar,QAR,Upfront,39.99,33.99,33.99
Romania,RON,Upfront,49.99,35.12,35.12
Russia,RUB,Upfront,899.0,626.35,626.35
Rwanda,USD,Upfront,9.99,8.49,8.49
São Tomé and Príncipe,USD,Upfront,9.99,8.49,8.49
Saudi Arabia,SAR,Upfront,39.99,29.56,29.56
Senegal,USD,Upfront,11.99,8.64,8.64
Serbia,EUR,Upfront,9.99,7.08,7.08
Seychelles,USD,Upfront,9.99,8.49,8.49
Sierra Leone,USD,Upfront,9.99,8.49,8.49
Singapore,SGD,Upfront,14.98,11.68,11.68
Slovakia,EUR,Upfront,9.99,6.9,6.9
Slovenia,EUR,Upfront,9.99,6.96,6.96
Solomon Islands,USD,Upfront,9.99,8.49,8.49
South Africa,ZAR,Upfront,199.99,147.82,147.82
Spain,EUR,Upfront,9.99,7.0,7.0
Sri Lanka,USD,Upfront,9.99,8.49,8.49
St. Kitts and Nevis,USD,Upfront,9.99,8.49,8.49
St. Lucia,USD,Upfront,9.99,8.49,8.49
St. Vincent and the Grenadines,USD,Upfront,9.99,8.49,8.49
Suriname,USD,Upfront,9.99,7.72,7.72
Sweden,SEK,Upfront,129.0,87.72,87.72
Switzerland,CHF,Upfront,9.0,7.08,7.08
Taiwan,TWD,Upfront,320,251,251
Tajikistan,USD,Upfront,9.99,7.45,7.45
Tanzania,TZS,Upfront,29900.0,21107.37,21107.37
Thailand,THB,Upfront,399.0,316.96,316.96
Tonga,USD,Upfront,9.99,8.49,8.49
Trinidad and Tobago,USD,Upfront,9.99,8.49,8.49
Tunisia,USD,Upfront,9.99,8.49,8.49
Türkiye,TRY,Upfront,499.99,336.45,336.45
Turkmenistan,USD,Upfront,9.99,8.49,8.49
Turks and Caicos Islands,USD,Upfront,9.99,8.49,8.49
Uganda,USD,Upfront,11.99,8.21,8.21
Ukraine,USD,Upfront,11.99,8.49,8.49
United Arab Emirates,AED,Upfront,39.99,32.37,32.37
United Kingdom,GBP,Upfront,9.99,7.06,7.06
United States,USD,Upfront,9.99,8.49,8.49
Uruguay,USD,Upfront,9.99,8.35,8.35
Uzbekistan,USD,Upfront,9.99,7.58,7.58
Vanuatu,USD,Upfront,9.99,8.49,8.49
Venezuela,USD,Upfront,9.99,8.49,8.49
Vietnam,VND,Upfront,299000,228735,228735
Yemen,USD,Upfront,9.99,8.49,8.49
Zambia,USD,Upfront,11.99,8.79,8.79
Zimbabwe,USD,Upfront,11.99,8.38,8.38
